"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2014,3,9,2,2,2014-09-02,"AA",19805,"AA","N4YDAA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0755",25.00,25.00,1.00,1,"0700-0759",16.00,"0811","0941",7.00,"0900","0948",48.00,48.00,1.00,3,"0900-0959",0.00,"",0.00,90.00,113.00,90.00,1.00,460.00,2,0.00,0.00,23.00,0.00,25.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,3,3,2014-09-03,"AA",19805,"AA","N508AA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0727",-3.00,0.00,0.00,-1,"0700-0759",25.00,"0752","1106",4.00,"0900","1110",,,,,"0900-0959",0.00,"",1.00,90.00,,,1.00,460.00,2,,,,,,"",,,1,1.00,223.00,130.00,0.00,"OMA",13871,1387102,"0958",39.00,39.00,"1037","N508AA","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,4,4,2014-09-04,"AA",19805,"AA","N586AA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0720",-10.00,0.00,0.00,-1,"0700-0759",13.00,"0733","0841",5.00,"0900","0846",-14.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,90.00,86.00,68.00,1.00,460.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,5,5,2014-09-05,"AA",19805,"AA","N438AA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0849",79.00,79.00,1.00,5,"0700-0759",16.00,"0905","1012",9.00,"0900","1021",81.00,81.00,1.00,5,"0900-0959",0.00,"",0.00,90.00,92.00,67.00,1.00,460.00,2,79.00,0.00,2.00,0.00,0.00,"0731",18.00,18.00,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,8,1,2014-09-08,"AA",19805,"AA","N503AA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0727",-3.00,0.00,0.00,-1,"0700-0759",26.00,"0753","0902",4.00,"0900","0906",6.00,6.00,0.00,0,"0900-0959",0.00,"",0.00,90.00,99.00,69.00,1.00,460.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,9,2,2014-09-09,"AA",19805,"AA","N4XRAA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0724",-6.00,0.00,0.00,-1,"0700-0759",14.00,"0738","0847",3.00,"0900","0850",-10.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,90.00,86.00,69.00,1.00,460.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,10,3,2014-09-10,"AA",19805,"AA","N471AA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0720",-10.00,0.00,0.00,-1,"0700-0759",14.00,"0734","0841",6.00,"0900","0847",-13.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,90.00,87.00,67.00,1.00,460.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,11,4,2014-09-11,"AA",19805,"AA","N4XLAA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0726",-4.00,0.00,0.00,-1,"0700-0759",11.00,"0737","0838",5.00,"0900","0843",-17.00,0.00,0.00,-2,"0900-0959",0.00,"",0.00,90.00,77.00,61.00,1.00,460.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,12,5,2014-09-12,"AA",19805,"AA","N552AA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0739",9.00,9.00,0.00,0,"0700-0759",43.00,"0822","0937",4.00,"0900","0941",41.00,41.00,1.00,2,"0900-0959",0.00,"",0.00,90.00,122.00,75.00,1.00,460.00,2,9.00,0.00,32.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2014,3,9,15,1,2014-09-15,"AA",19805,"AA","N595AA","151",11298,1129803,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"0730","0725",-5.00,0.00,0.00,-1,"0700-0759",8.00,"0733","0844",9.00,"0900","0853",-7.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,90.00,88.00,71.00,1.00,460.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
